fwd_seg_size_avg,pkt_len_std,pkt_len_max,fwd_pkt_len_std,subflow_fwd_byts,pkt_len_var,pkt_size_avg,totlen_fwd_pkts,pkt_len_mean,fwd_pkt_len_mean,capture_id,Label,Attack_Type
94.4,38.82725274282943,192,48.93097178679368,472,1507.5555555555557,82.66666666666667,472,82.66666666666667,94.4,c2_02,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_02,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_02,1,c2_beacon
89.5,38.51438724283898,191,45.53295509847785,537,1483.358024691358,82.55555555555556,537,82.55555555555556,89.5,c2_02,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_02,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_02,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_02,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_02,1,c2_beacon
89.66666666666667,38.82725274282943,192,45.90449021852026,538,1507.5555555555557,82.66666666666667,538,82.66666666666667,89.66666666666667,c2_02,1,c2_beacon
94.8,39.45305070430604,194,49.72886485734417,474,1556.543209876543,82.88888888888889,474,82.88888888888889,94.8,c2_02,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_02,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_02,1,c2_beacon
90.0,37.7698292291612,194,46.647615158762406,540,1426.5600000000002,81.2,540,81.2,90.0,c2_02,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_02,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_02,1,c2_beacon
94.4,38.82725274282943,192,48.93097178679368,472,1507.5555555555557,82.66666666666667,472,82.66666666666667,94.4,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_03,1,c2_beacon
94.6,39.14014074174939,193,49.329909791119626,473,1531.9506172839506,82.77777777777777,473,82.77777777777777,94.6,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
89.83333333333333,39.14014074174939,193,46.27604371834548,539,1531.9506172839506,82.77777777777777,539,82.77777777777777,89.83333333333333,c2_03,1,c2_beacon
89.66666666666667,38.82725274282943,192,45.90449021852026,538,1507.5555555555557,82.66666666666667,538,82.66666666666667,89.66666666666667,c2_03,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
90.0,39.45305070430604,194,46.647615158762406,540,1556.543209876543,82.88888888888889,540,82.88888888888889,90.0,c2_03,1,c2_beacon
